Absolute Module Path,Module Position,Module Declaration,Module Complexity
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,39,"GrammarDependencies analyze(Set<File> grammarFiles, Set<File> importGrammarFiles, Tool tool)",9
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,84,void process(),15
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,146,"boolean hasSLLConflictTerminatingPrediction(PredictionMode mode, ATNConfigSet configs)",8
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,182,boolean removeFast(T obj),7
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,214,void testToStringStartStop2(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,271,"void assertEquals(String expecting, String result)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,275,"void process(Lexer l, Class c, Parser p, CharStream cs)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,281,void debug(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,290,byte[] checksum(File grammarFile),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,296,"void put(File grammarFile, AbstractMap.SimpleImmutableEntry<byte[], Collection<String>> collectionSimpleImmutableEntry)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,301,Collection<String> findUsages(String relativePath),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,305,String getRelativePath(File grammarFile),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,309,"void analyse(File grammarFile, Collection<File> grammarsAndTokens, Tool tool)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,326,CharStream createWithUTF8Stream(InputStream in),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,330,CharStream createWithUTF8(Path path),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,336,ANTLRInputStream(InputStreamReader r),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,340,ANTLRInputStream(String input),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,348,int size(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,353,boolean isEmpty(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,358,boolean contains(Object o),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,363,Iterator<ATNConfig> iterator(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,368,Object[] toArray(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,373,T[] toArray(T[] a),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,378,boolean add(ATNConfig atnConfig),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,383,boolean remove(Object o),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,388,boolean containsAll(Collection<?> c),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,393,boolean addAll(Collection<? extends ATNConfig> c),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,398,boolean retainAll(Collection<?> c),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,403,boolean removeAll(Collection<?> c),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,408,void clear(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,413,void add(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,417,"Transaction add(Object newInstanceWithBundle, MyExpenses.Dummy asyncTag)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,427,"ATNConfig(ATNConfig c, Object none)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,436,boolean allConfigsInRuleStopStates(ATNConfigSet configs),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,440,Collection<BitSet> getConflictingAltSubsets(ATNConfigSet configs),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,444,boolean hasConflictingAltSet(Collection<BitSet> altsets),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,448,boolean hasStateAssociatedWithOneAlt(ATNConfigSet configs),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,456,"boolean equals(T e, T obj)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,461,int getBucket(T obj),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,466,LexerGrammar(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,470,LexerInterpreter createLexerInterpreter(ANTLRInputStream antlrInputStream),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,479,CommonTokenStream(LexerInterpreter lexEngine),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,483,void fill(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,489,TokenStreamRewriter(CommonTokenStream stream),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,493,JLabel getTokenStream(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,497,"void replace(int i, int i1, String s)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,501,String getText(),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,505,String getText(String of),0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,509,"void insertAfter(int i, String s)",0
D:\Eclipse\CognitiveComplexity\Test Files\Antlr4Master.java,515,"String of(int i, int i1)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,36,boolean save(),5
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,72,String getCacheDir(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,80,void onCreate(Bundle savedInstanceState),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,131,"void handleFABClick(final int edit, final int otherType)",5
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,163,"void showFullScreenChart(AbstractReport report, ComboLineColumnChartView v)",2
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,232,void downloadFile(),7
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,264,File getLocalFile(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,268,View getResources(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,272,ComboLineColumnChartView getView(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,276,"void applyViewport(View mFullScreenChart, boolean b)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,280,"ReportChartOptions loadReportChartOptions(Object context, AbstractReport report)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,284,Save getContext(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,288,Save getActivity(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,295,Save getContentResolver(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,299,Object getId(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,303,Object getText(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,307,void getCacheDir(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,313,"void update(Save contentResolver, FuelTypeSelection where)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,317,void insert(Save contentResolver),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,321,void putCategory(String toString),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,325,void putName(String toString),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,331,FuelTypeSelection id(Object id),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,337,boolean validate(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,341,void add(AbstractFormFieldValidator formFieldNotEmptyValidator),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,345,void add(FormFieldNotEmptyValidator formFieldNotEmptyValidator),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,351,FormFieldNotEmptyValidator(Save mEdtName),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,356,AbstractFormFieldValidator(Save mEdtName),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,388,void addTextChangedListener(TextWatcher textWatcher),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,406,void setOnClickListener(OnClickListener onClickListener),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,410,void setVisibility(Object gone),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,414,void setChecked(boolean b),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,418,"void setLayout(Object matchParent, Object wrapContent)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,422,"CarCursor query(Object contentResolver, Object allColumns, String s)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,426,void cancel(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,430,void setComboLineColumnChartData(Object chartData),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,434,View getInteger(Object config_longAnimTime),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,438,View files(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,442,View download(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,446,View download(FileOutputStream outputStream),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,452,void setOnClickListener(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,460,void onCreate(Bundle savedInstanceState),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,472,void setOnClickListener(OnClickListener onClickListener),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,480,void setContentView(Object activity_setup_webdav_sync),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,484,View getWindow(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,488,void setResult(Object resultCanceled),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,492,void onOkClick(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,496,View findViewById(Object edt_url),0
